anio,mes,indice
2022,1,101.17358135873762
2022,2,102.36093564953094
2022,3,103.44535722566454
2022,4,104.65937265454443
2022,5,105.84779006713644
2022,6,107.09000000000003
2022,7,108.05602738204635
2022,8,109.06341139489908
2022,9,110.08018704072163
2022,10,111.07318802029131
2022,11,112.10870039825994
2022,12,113.12000000000003
2023,1,114.27581867050124
2023,2,115.44344707225305
2023,3,116.50833023884493
2023,4,117.69876962497452
2023,5,118.86238771795641
2023,6,120.07687999999997
2023,7,120.6502872329327
2023,8,121.24568483571647
2023,9,121.84402066859914
2023,10,122.4258665888211
2023,11,123.0300265055313
2023,12,123.61753599999997
2024,1,124.46589038115269
2024,2,125.32006679354241
2024,3,126.1244411655594
2024,4,126.9899997723355
2024,5,127.83329248281433
2024,6,128.7105784832
2024,7,128.92849928120663
2024,8,129.15407172950157
2024,9,129.38003883785782
2024,10,129.5990931039635
2024,11,129.8258388187686
2024,12,130.04564787200005
2025,1,130.86151414444095
2025,2,131.68249891016004
2025,3,132.42845969784184
2025,4,133.25927499652153
2025,5,134.06825225117026
2025,6,134.90935510241286
2025,7,135.1977166302257
2025,8,135.4963377419594
2025,9,135.7956184400426
2025,10,136.08587430831753
2025,11,136.38645715904974
2025,12,136.677975913472
2026,1,137.76709176013412
2026,2,138.86488620566735
2026,3,139.86395943182254
2026,4,140.97846272744172
2026,5,142.06546937886242
2026,6,143.19751536454459
2026,7,143.19751536454459
