numero,titulo,url_detalle,descripcion,total_recursos_texto,fecha_apertura_texto,fecha_apertura
1051,"Invitación a presentar proyectos de innovación que contribuyan a solucionar los problemas de productividad que impiden la soberanía alimentaria y la construcción de paz de las comunidades negras, afrocolombianas, raizales y palenqueras",https://minciencias.gov.co/node/8152,"Invitación a presentar proyectos de innovación construidos en el marco de apropiación social del conocimiento que contribuyan a solucionar los problemas de productividad que impiden asegurar la soberanía alimentaria, el derecho a la alimentación y la construcción de paz de las comunidades negras, af",,"Jueves, Agosto 10, 2023",2023-08-10
1049,"Invitación a presentar propuestas para apoyar el desarrollo de expediciones científicas BIO, paz y territorio.",https://minciencias.gov.co/node/8117,"Apoyar el desarrollo de expediciones científicas a través de proyectos de I+D+i que contribuyan a la búsqueda de nuevos usos potenciales de la biodiversidad por medio del aprovechamiento sostenible, intensivo en conocimiento e innovación, así como a la actualización y/o generación de conocimiento en",,"Jueves, Junio 29, 2023",2023-06-29
1047,Invitación a presentar propuestas orientadas a fortalecer el catastro multipropósito a través de la vinculación de jóvenes investigadores e innovadores,https://minciencias.gov.co/node/8105,"Conformar un banco de propuestas elegibles de investigación, innovación y/o desarrollo tecnológico, (I+D+i), con base en los retos de innovación identificados por el Instituto Geográfico",,"Jueves, Junio 15, 2023",2023-06-15
1044,Invitación a presentar propuesta para el diseño de una propuesta de financiamiento basal,https://minciencias.gov.co/node/7755,"Diseñar una propuesta de financiamiento basal para el fortalecimiento y sostenibilidad de los Centros/Institutos de investigación autónomos o independientes, Centros/Institutos de investigación dependientes, Centros de desarrollo tecnológico autónomos o independientes, Centros desarrollo tecnológico",$ 490.000.000,"Viernes, Noviembre 11, 2022",2022-11-11
1042,Invitación a presentar propuesta para el diseño de un modelo de financiamiento basal,https://minciencias.gov.co/node/7999,"Diseñar una propuesta de financiamiento basal para el fortalecimiento y sostenibilidad de los Centros/Institutos de investigación autónomos o independientes, Centros/Institutos de investigación dependientes, Centros de desarrollo tecnológico autónomos o independientes, Centros desarrollo tecnológico",$490.000.000,"Jueves, Marzo 23, 2023",2023-03-23
1041,"Invitación a presentar planes de fortalecimiento de las capacidades institucionales relacionadas con la gestión editorial, la visibilidad y el impacto de las revistas científicas colombianas",https://minciencias.gov.co/node/7729,"Fortalecer las capacidades institucionales relacionadas con la gestión editorial, la visibilidad y el impacto de las revistas científicas colombianas indexadas.",$4.511.200.000,"Jueves, Octubre 20, 2022",2022-10-20
978,Convocatoria Fortalecimiento De Capacidades Nacionales Para La Soberanía Sanitaria De Colombia,https://minciencias.gov.co/node/9542,"Impulsar la investigación, el desarrollo y la innovación en salud para fortalecer las capacidades locales y territoriales, ampliar  la disponibilidad de conocimientos, tecnologías y servicios  innovadores, y consolidar la soberanía sanitaria del país  mediante la promoción de solucion",$109.000.000.000,"Miércoles, Julio 15, 2026",2026-07-15
977,Convocatoria de Clasificación y Reconocimiento de Revistas Científicas Nacionales - Publindex 2026,https://minciencias.gov.co/node/9343,"Medir la calidad y el impacto de la producción científica nacional mediante la categorización de revistas científicas especializadas bajo estándares de excelencia editorial, promoviendo su inclusión en Sistemas de Resúmenes e Indexación (SIRes) de visibilidad global y la consolidación de la tipologí",,"Miércoles, Abril 8, 2026",2026-04-08
976,CONVOCATORIA COLOMBIA INTELIGENTE 2026,https://minciencias.gov.co/node/9326,"Fortalecer la Investigación Aplicada, el Desarrollo Tecnológico y la Innovación en ciencias y tecnologías cuánticas e Inteligencia  Artificial, contribuyendo al desarrollo ambiental, social y  económico de las regiones en el marco de la Política de  Investigación e Innovación Orientad",$24.000.000.000,"Viernes, Marzo 13, 2026",2026-03-13
975,Convocatoria de “Becas para El Cambio” Formación en Maestrías y Doctorados,https://minciencias.gov.co/node/9325,"Fortalecer el capital humano de alto nivel mediante el otorgamiento de apoyos económicos a profesionales universitarios colombianos  que deseen iniciar estudios de maestría y doctorado nacional y  doctorado en el exterior, a través de la conformación de un banco  de elegibles.",$279.588.000.000,"Viernes, Marzo 13, 2026",2026-03-13
974,Convocatoria de “BECAS PARA EL CAMBIO” formación en maestrías y doctorados Región Pacífico,https://minciencias.gov.co/node/9298,"Fortalecer la formación de capital humano de alto nivel, mediante el otorgamiento de apoyos económicos a profesionales universitarios colombianos con lugar de nacimiento en los municipios de la Región Pacífico señalados en el dirigido a, interesados en cursar un programa de maestría o doctorado en l",$55.152.841.200,"Martes, Febrero 17, 2026",2026-02-17
973,Convocatoria para la formación de capital humano de alto nivel para las regiones - docentes de establecimientos educativos oficiales de Cundinamarca,https://minciencias.gov.co/node/9164,Incrementar la disponibilidad de capital humano con capacidades de investigación en prácticas pedagógicas en establecimientos educativos oficiales del Departamento de Cundinamarca.,$877.800.000,"Jueves, Noviembre 20, 2025",2025-11-20
972,Convocatoria para apoyar proyectos de I+D+i en recobro mejorado de hidrocarburos y al fortalecimiento de capacidades para esta temática en  instituciones de educación superior - 2025,https://minciencias.gov.co/node/9085,"Conformar un banco de proyectos elegibles en Ciencia, Tecnología e Innovación (CTeI) que, mediante la investigación, el desarrollo  tecnológico, la innovación, la apropiación social del conocimiento y la  formación de talento humano, contribuyan al fortalecimiento del  conocimiento ci",$15.756.052.390,"Jueves, Agosto 21, 2025",2025-08-21
971,Convocatoria para la financiación de proyectos de CTeI con enfoque en apropiación social del conocimiento para el desarrollo de comunidades  energéticas en el país,https://minciencias.gov.co/node/9084,"Conformar un banco de proyectos elegibles en Ciencia, Tecnología e Innovación con enfoque en apropiación social de conocimiento para el  desarrollo de comunidades energéticas.Líneas temáticas",$11.402.838.645,"Jueves, Agosto 21, 2025",2025-08-21
970,CONVOCATORIA 970 PARA LA CONFORMACIÓN DE UN LISTADO DE PROYECTOS DE I+D+I QUE APLICAN A BENEFICIOS TRIBUTARIOS POR INVERSIÓN AÑO 2025,https://minciencias.gov.co/node/9074,"Promover el crecimiento de los distintos sectores productivos mediante el estímulo a la inversión privada en proyectos de I+D+i a través del acceso a beneficios tributarios establecidos en los artículos 256 y 256-1 del Estatuto Tributario, dirigidos a empresas de todos los tamaños (micro, pequeñas,",,"Viernes, Agosto 8, 2025",2025-08-08
969,"Convocatoria Océanos, Clima y Recursos Marino-Costeros",https://minciencias.gov.co/node/8891,"Conformar un banco de proyectos elegibles para financiación de proyectos de ciencia, tecnología e innovación en el Mar Caribe colombiano, con el propósito de consolidar la investigación en Océanos, Clima y Recursos Marino-Costeros, desde un enfoque territorial integrando los ejes de desarrollo econó",$4.928.825.000,"Viernes, Mayo 16, 2025",2025-05-16
968,CONVOCATORIA PARA LA CALIFICACIÓN DE PROYECTOS QUE APLICAN A LOS INGRESOS NO CONSTITUTIVOS DE RENTA Y/O GANANCIA OCASIONAL (ART. 57-2 ESTATUTO TRIBUTARIO),https://minciencias.gov.co/node/8890,"Calificar los proyectos de investigación científica, desarrollo e innovación desarrollados por organizaciones como universidades, empresas, entidades sin ánimo de lucro (legalmente constituidas en Colombia) y actores reconocidos por Minciencias1; con el fin de que el personal",,"Viernes, Mayo 16, 2025",2025-05-16
967,CONVOCATORIA JÓVENES INVESTIGADORES E INNOVADORES PARA FORTALECER EL CONOCIMIENTO DE FUENTES DE ENERGÍA PARA LA TRANSICIÓN ENERGÉTICA EN COLOMBIA: PROSPECTIVA DE GAS Y ALMACENAMIENTO GEOLÓGICO DE CO2.,https://minciencias.gov.co/node/8887,"Fomentar la vocación científica de jóvenes colombianos mediante la conformación de un listado de propuestas elegibles que vinculen jóvenes investigadores e innovadores para la generación de conocimiento científico, desarrollo tecnológico o innovación que contribuyan a fortalecer el conocimiento de f",$6.683.263.037,"Viernes, Mayo 9, 2025",2025-05-09
966,CONVOCATORIA COLOMBIA INTELIGENTE: CIENCIA Y TECNOLOGÍAS CUÁNTICAS E INTELIGENCIA ARTIFICIAL PARA LOS TERRITORIOS,https://minciencias.gov.co/node/8870,"Fortalecer la Investigación Aplicada, el Desarrollo Tecnológico y la Innovación en ciencias y tecnologías cuánticas e Inteligencia Artificial, contribuyendo al desarrollo ambiental, social y económico de las regiones en el marco de la Política de Investigación e Innovación Orientada por Misiones.",$20.000.000.000,"Viernes, Abril 25, 2025",2025-04-25
965,Convocatoria Movilidad Académica con Europa 2025,https://minciencias.gov.co/node/8868,"Conformar un Banco de Propuestas Elegibles en la Modalidad Nacional y Modalidad Regional, para el desarrollo de propuestas conjuntas de movilidad internacional, por un término total de dos años con el “DAAD - Servicio Alemán de Intercambio Académico” de Alemania o de tres años con “ECOS NORD” de Francia, de investigadores colombianos o extranjeros domiciliados en Colombia con reconocimiento vigente por parte del Ministerio de Ciencia, Tecnología e Innovación y estudiantes de doctorado o profesionales con título de maestría (según corresponda a la modalidad que aplica), en el marco de un proyecto de investigación, desarrollo tecnológico y/o innovación.",$579.254.000,"Martes, Abril 22, 2025",2025-04-22
964,Convocatoria Formación en Maestrías Pacífico Nariñense,https://minciencias.gov.co/node/8836,"Conformar un banco de candidatos elegibles de profesionales que trabajen o acrediten haber trabajado como docentes y/o directivos docentes en establecimientos educativos de las Subregiones del departamento de Nariño: Pacífico Sur (Francisco Pizarro y Tumaco), Telembí (Barbacoas, Magüí y Roberto",,"Viernes, Marzo 14, 2025",2025-03-14
963,"Convocatoria Orquídeas: Mujeres en Inteligencia Artificial, Ciencias y Tecnologías Cuánticas 2025",https://minciencias.gov.co/node/8816,"Conformar un banco de propuestas elegibles con un Eje Nacional y un Eje Pacífico, para la selección de proyectos de investigación, desarrollo tecnológico y/o innovación realizados como una estancia postdoctoral, que contribuyan a la implementación de las Políticas de Investigación e Innovación",$35.200.000.000,"Martes, Febrero 18, 2025",2025-02-18
