convocatoria_numero,nombre_documento,tipo_documento,numero_anexo,subtipo_anexo,tipo_actividad,formato,url,ruta_local,estado,bytes,error
978.0,Anexo 1. Contenido del Proyecto de I+D+i.,anexo,1.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1_contenidos_del_proyecto_de_idi.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_1_contenidos_del_proyecto_de_idi.pdf,omitido_existe,202698,
978.0,Anexo 2. Carta Aval y Compromiso Institucional.,anexo,2.0,aval_institucional,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2_carta_aval_y_compromiso_institucional.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_2_carta_aval_y_compromiso_institucional.pdf,omitido_existe,143270,
978.0,Anexo 2. Carta Aval y Compromiso Institucional.,anexo,2.0,aval_institucional,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2_carta_aval_y_compromiso_institucional_editable.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_2_carta_aval_y_compromiso_institucional_editable.docx,omitido_existe,434522,
978.0,Anexo 3. Descripción de los productos esperados.,anexo,3.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3_descripcion_de_los_productos_esperados_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_3_descripcion_de_los_productos_esperados_0.pdf,omitido_existe,238060,
978.0,Anexo 4. Niveles de Madurez Tecnológica.,anexo,4.0,tecnico,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4_niveles_de_madurez_tecnologica.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_4_niveles_de_madurez_tecnologica.pdf,omitido_existe,210546,
978.0,Anexo 5. Experiencia e Idoneidad de la Alianza.,anexo,5.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5_experiencia_e_idoneidad_de_la_alianza.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_5_experiencia_e_idoneidad_de_la_alianza.pdf,omitido_existe,89783,
978.0,Anexo 5. Experiencia e Idoneidad de la Alianza.,anexo,5.0,otro,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5_experiencia_e_idoneidad_de_la_alianza_editable.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_5_experiencia_e_idoneidad_de_la_alianza_editable.docx,omitido_existe,4259166,
978.0,Anexo 6. Modelo de Aval de la Organización Social o Asociación u organización étnica.,anexo,6.0,aval_institucional,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6_modelo_de_aval_de_la_organizacion_social_o_asociacion_u_organizacion_etnica.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_6_modelo_de_aval_de_la_organizacion_social_o_asociacion_u_organizacion_etnica.pdf,omitido_existe,84195,
978.0,Anexo 6. Modelo de Aval de la Organización Social o Asociación u organización étnica.,anexo,6.0,aval_institucional,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6_modelo_de_aval_de_la_organizacion_social_o_asociacion_u_organizacion_etnica_editable.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_6_modelo_de_aval_de_la_organizacion_social_o_asociacion_u_organizacion_etnica_editable.docx,omitido_existe,237755,
978.0,Anexo 7. Plan de Actividades Jóvenes Investigadores e Innovadores.,anexo,7.0,talento_hv,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7_plan_de_actividades_jovenes_investigadores.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_7_plan_de_actividades_jovenes_investigadores.pdf,omitido_existe,86673,
978.0,Anexo 7. Plan de Actividades Jóvenes Investigadores e Innovadores.,anexo,7.0,talento_hv,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7_plan_de_actividades_jovenes_investigadores_editable.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_7_plan_de_actividades_jovenes_investigadores_editable.docx,omitido_existe,4262586,
978.0,Anexo 8. Orientaciones Experiencia Mínima.,anexo,8.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_8_orientaciones_experiencia_minima.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\anexo_8_orientaciones_experiencia_minima.pdf,omitido_existe,114376,
978.0,Resolución 0670 -2026,resolucion,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/resolucion_0670-2026.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\resolucion_0670-2026.pdf,ok,2360628,
978.0,Términos de Referencia Convocatoria Fortalecimiento De Capacidades Nacionales Para La Soberanía Sanitaria De Colombia,terminos_referencia,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_fortalecimiento_de_capacidades_nacionales_para_la_soberania_sanitaria_de_colombia.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_978\tdr_fortalecimiento_de_capacidades_nacionales_para_la_soberania_sanitaria_de_colombia.pdf,ok,2136876,
