convocatoria_numero,tipo_actividad,fecha_texto
978,Apertura,miércoles 15 julio 2026
978,Cierre,jueves 27 agosto 2026 04:00 pm
978,Publicación de resultados preliminares,miércoles 07 octubre 2026
978,Publicación de resultados definitivos,viernes 06 noviembre 2026
48,Apertura,martes 16 junio 2026
48,Cierre,viernes 31 julio 2026 04:00 pm
48,Publicación de resultados preliminares,lunes 05 octubre 2026
48,Publicación de resultados definitivos,viernes 16 octubre 2026
977,Apertura,miércoles 08 abril 2026
977,Cierre,viernes 22 mayo 2026 06:00 pm
977,Publicación de resultados preliminares,viernes 12 junio 2026
977,Publicación de resultados definitivos,martes 28 julio 2026
,Apertura,miércoles 01 abril 2026
,Modificaciones,viernes 24 abril 2026
,Cierre,viernes 10 abril 2026 04:00 pm
,Publicación del listado de elegibles,lunes 04 mayo 2026
976,Apertura,viernes 13 marzo 2026
976,Modificaciones,jueves 16 julio 2026
976,Cierre,lunes 13 abril 2026 04:00 pm
976,Publicación de resultados preliminares,martes 04 agosto 2026
976,Publicación de resultados definitivos,martes 01 septiembre 2026
975,Apertura,viernes 13 marzo 2026
975,Modificaciones,viernes 08 mayo 2026
975,Cierre,martes 28 abril 2026 04:00 pm
975,Publicación de resultados preliminares,martes 14 julio 2026
975,Publicación de resultados definitivos,viernes 31 julio 2026
52,Apertura,jueves 12 marzo 2026
52,Cierre,viernes 08 mayo 2026 04:00 pm
52,Publicación de resultados preliminares,jueves 25 junio 2026
52,Publicación de resultados definitivos,lunes 13 julio 2026
49,Apertura,jueves 12 marzo 2026
49,Cierre,viernes 08 mayo 2026 04:00 pm
49,Publicación de resultados preliminares,jueves 16 julio 2026
49,Publicación de resultados definitivos,viernes 24 julio 2026
47,Apertura,jueves 12 marzo 2026
47,Modificaciones,jueves 30 abril 2026
47,Cierre,martes 05 mayo 2026 04:00 pm
47,Publicación de resultados preliminares,jueves 28 mayo 2026
47,Publicación de resultados definitivos,miércoles 22 julio 2026
974,Apertura,martes 17 febrero 2026
974,Modificaciones,martes 10 marzo 2026
974,Cierre,martes 24 marzo 2026 04:00 pm
974,Publicación de resultados preliminares,martes 26 mayo 2026
974,Publicación de resultados definitivos,viernes 19 junio 2026
51,Apertura,martes 30 diciembre 2025
51,Modificaciones,viernes 27 febrero 2026
51,Cierre,viernes 20 marzo 2026 04:00 pm
51,Publicación de resultados preliminares,viernes 24 abril 2026
51,Publicación de resultados definitivos,lunes 13 julio 2026
45,Apertura,martes 30 diciembre 2025
45,Modificaciones,
45,Cierre,viernes 20 febrero 2026 04:00 pm
45,Publicación de resultados preliminares,martes 26 mayo 2026
45,Publicación de resultados definitivos,viernes 05 junio 2026
973,Apertura,jueves 20 noviembre 2025
973,Cierre,martes 16 diciembre 2025 04:00 pm
973,Publicación de resultados preliminares,viernes 30 enero 2026
973,Publicación de resultados definitivos,martes 24 febrero 2026
973,Terminación Anormal de la Convocatoria,viernes 30 enero 2026
50,Apertura,martes 14 octubre 2025
50,Modificaciones,
50,Cierre,viernes 21 noviembre 2025 04:00 pm
50,Publicación de resultados preliminares,jueves 09 abril 2026
50,Publicación de resultados definitivos,lunes 20 abril 2026
46,Apertura,martes 14 octubre 2025
46,Modificaciones,
46,Cierre,viernes 14 noviembre 2025 04:00 pm
46,Publicación de resultados preliminares,lunes 29 diciembre 2025
46,Publicación de resultados definitivos,lunes 29 diciembre 2025
