convocatoria_numero,tipo_actividad,nombre_documento,tipo_documento,numero_anexo,subtipo_anexo,url_pdf,url_editable
978,Apertura,Resolución 0670 -2026,resolucion,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/resolucion_0670-2026.pdf,
978,Apertura,Términos de Referencia Convocatoria Fortalecimiento De Capacidades Nacionales Para La Soberanía Sanitaria De Colombia,terminos_referencia,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_fortalecimiento_de_capacidades_nacionales_para_la_soberania_sanitaria_de_colombia.pdf,
978,Apertura,Anexo 1. Contenido del Proyecto de I+D+i.,anexo,1,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1_contenidos_del_proyecto_de_idi.pdf,
978,Apertura,Anexo 2. Carta Aval y Compromiso Institucional.,anexo,2,aval_institucional,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2_carta_aval_y_compromiso_institucional.pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2_carta_aval_y_compromiso_institucional_editable.docx
978,Apertura,Anexo 3. Descripción de los productos esperados.,anexo,3,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3_descripcion_de_los_productos_esperados_0.pdf,
978,Apertura,Anexo 4. Niveles de Madurez Tecnológica.,anexo,4,tecnico,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4_niveles_de_madurez_tecnologica.pdf,
978,Apertura,Anexo 5. Experiencia e Idoneidad de la Alianza.,anexo,5,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5_experiencia_e_idoneidad_de_la_alianza.pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5_experiencia_e_idoneidad_de_la_alianza_editable.docx
978,Apertura,Anexo 6. Modelo de Aval de la Organización Social o Asociación u organización étnica.,anexo,6,aval_institucional,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6_modelo_de_aval_de_la_organizacion_social_o_asociacion_u_organizacion_etnica.pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6_modelo_de_aval_de_la_organizacion_social_o_asociacion_u_organizacion_etnica_editable.docx
978,Apertura,Anexo 7. Plan de Actividades Jóvenes Investigadores e Innovadores.,anexo,7,talento_hv,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7_plan_de_actividades_jovenes_investigadores.pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7_plan_de_actividades_jovenes_investigadores_editable.docx
978,Apertura,Anexo 8. Orientaciones Experiencia Mínima.,anexo,8,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_8_orientaciones_experiencia_minima.pdf,
48,Apertura,"TdR Convocatoria 48 del SGR – Aprovechamiento Sostenible de la Biodiversidad, la productividad y el Fortalecimiento Territorial",otro,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_convocatoria_48.pdf,
48,Apertura,"Anexo 1 Carta unificada de aval, compromiso institucional y modelo de gobernanza.",anexo,1,aval_institucional,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1_carta_unificada_de_aval_compromiso_institucional_y_modelo_de_gobernanza_-_48.docx
48,Apertura,Anexo 2. Documento técnico.,anexo,2,tecnico,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2._documento_tecnico_-_48.docx
48,Apertura,Anexo 3. Presupuesto.,anexo,3,finanzas,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3._presupuesto_-_48.xlsx
48,Apertura,Anexo 4. Demandas Territoriales bienio 2025 - 2026.,anexo,4,poblacion_especifica,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4._demandas_territoriales_bieno_2025_-_2026_-_48.pdf,
48,Apertura,"Anexo 5. Formato proyectos de ciencia, tecnología e innovación ejecutados o en ejecución.",anexo,5,otro,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5._formato_proyectos_de_ciencia_tecnologia_e_innovacion_ejecutados_o_en_ejecucion.docx
48,Apertura,Anexo 6. Definiciones.,anexo,6,otro,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6._definiciones.docx
48,Apertura,Anexo 7. Marco normativo de la Asignación para CTeI del SGR.,anexo,7,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7._marco_normativo_de_la_asignacion_para_ctei_del_sgr_-_48.pdf,
48,Apertura,Anexo 8. Distribución geográfica SGR.,anexo,8,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_8._distribucion_geografica_sgr_1.pdf,
48,Apertura,Anexo 9. Procedimiento solicitud creación de Rol Formulador CTeI.,anexo,9,procedimental,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_9._procedimiento_solicitud_creacion_de_rol_formulador_ctei-_48.docx
48,Apertura,"Anexo 10. Documentos para verificar formalidad de las organizaciones comunitarias, étnicas y campesinas.",anexo,10,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_10._documentos_para_verificar_formalidad_de_las_organizaciones_comunitarias_etnicas_y_campesinas_-_48.pdf,
48,Apertura,Anexo 11. Lineamientos enfoque Apropiación Social del Conocimiento.,anexo,11,apropiacion_social,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_11._lineamientos_enfoque_de_apropiacion_social_del_conocimiento_-_48.pdf,
48,Apertura,Anexo 12. Enfoque diferencial e interseccional.,anexo,12,poblacion_especifica,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_12._enfoque_diferencial_e_interseccional_-_48.pdf,
48,Apertura,Anexo 13. Niveles de madurez tecnológica.,anexo,13,tecnico,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_13._niveles_de_madurez_tecnologica_-_48.docx
48,Apertura,Anexo 14. Municipios PDET y/o ZOMAC.,anexo,14,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_14._municipios_pdet_-_zomac_-_48.pdf,
48,Apertura,Anexo 15. Listado de Corporaciones Autónomas Regionales.,resultado,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_15._listado_de_corporaciones_autonomas_regionales_-_48.pdf,
48,Apertura,Anexo 16. Certificado tamaño empresa mediana.,anexo,16,otro,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_16_certificado_tamano_empresa_mediana_-_48.docx
48,Apertura,Anexo 17. Instructivo para generar MGA-WEB en borrador.,anexo,17,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_17._instructivo_para_generar_mga-web_en_borrador.pdf,
48,Apertura,Respuesta a observaciones convocatoria No. 48,comunicado,,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/f_respuesta_a_observaciones_convocatoria_no._48_1.xlsx
