convocatoria_numero,nombre_documento,tipo_documento_csv,url,formato,nombre_original_url,ruta_tdr,origen,estado,error
978.0,Términos de Referencia Convocatoria Fortalecimiento De Capacidades Nacionales Para La Soberanía Sanitaria De Colombia,terminos_referencia,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_fortalecimiento_de_capacidades_nacionales_para_la_soberania_sanitaria_de_colombia.pdf,pdf,tdr_fortalecimiento_de_capacidades_nacionales_para_la_soberania_sanitaria_de_colombia.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_978_tdr.pdf,copiado_desde_archivos,ok,
48.0,"TdR Convocatoria 48 del SGR – Aprovechamiento Sostenible de la Biodiversidad, la productividad y el Fortalecimiento Territorial",otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_convocatoria_48.pdf,pdf,terminos_de_referencia_convocatoria_48.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_48_tdr.pdf,copiado_desde_archivos,ok,
977.0,Anexo 2. Términos de referencia de la convocatoria,terminos_referencia,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_de_la_convocatoria_publindex_2026_firmados_0.pdf,pdf,terminos_de_referencia_de_la_convocatoria_publindex_2026_firmados_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_977_tdr.pdf,copiado_desde_archivos,ok,
976.0,Términos de Referencia Convocatoria COLOMBIA INTELIGENTE  2026,terminos_referencia,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_v6_-_colombia_inteligente_2026_4_1.pdf,pdf,terminos_de_referencia_v6_-_colombia_inteligente_2026_4_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_976_tdr.pdf,copiado_desde_archivos,ok,
975.0,Términos de Referencia Convocatoria de “Becas para el Cambio”  Formación en Maestrías y Doctorados,terminos_referencia,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_referencia_convocatoria_apoyo_formacion_alto_nivel_vr_final_ajustado.pdf,pdf,terminos_referencia_convocatoria_apoyo_formacion_alto_nivel_vr_final_ajustado.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_975_tdr.pdf,copiado_desde_archivos,ok,
52.0,Términos de referencia Convocatoria No. 52,terminos_referencia,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_convocatoria_52_sgr_def.pdf,pdf,terminos_de_referencia_convocatoria_52_sgr_def.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_52_tdr.pdf,descargado,ok,
49.0,Términos de referencia Convocatoria No. 49,terminos_referencia,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_convocatoria_49_sgr_def.pdf,pdf,terminos_de_referencia_convocatoria_49_sgr_def.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_49_tdr.pdf,descargado,ok,
47.0,Términos de referencia Convocatoria No. 47,terminos_referencia,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_convocatoria_47_sgr_def.pdf,pdf,terminos_de_referencia_convocatoria_47_sgr_def.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_47_tdr.pdf,descargado,ok,
974.0,Términos de Referencia Convocatoria de “BECAS PARA EL CAMBIO” formación en maestrías y doctorados Región Pacífico,terminos_referencia,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_convocatoria_de_becas_para_el_cambio_formacion_en_maestrias_y_doctorados_region_pacifico_0.pdf,pdf,terminos_de_referencia_convocatoria_de_becas_para_el_cambio_formacion_en_maestrias_y_doctorados_region_pacifico_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_974_tdr.pdf,descargado,ok,
51.0,TdR Convocatoria 51 del SGR,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_convocatoria_51_del_sgr.pdf,pdf,tdr_convocatoria_51_del_sgr.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_51_tdr.pdf,descargado,ok,
45.0,TdR Convocatoria 45 del SGR,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_convocatoria_45_26dic_publicar.pdf,pdf,tdr_convocatoria_45_26dic_publicar.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_45_tdr.pdf,descargado,ok,
973.0,Términos de Referencia Convocatoria formación de capital humano docentes establecimientos educativos oficiales de Cundinamarca,terminos_referencia,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_v.5_convocatoria_cundinamarca_vtobo_dvf_fdo.pdf,pdf,terminos_de_referencia_v.5_convocatoria_cundinamarca_vtobo_dvf_fdo.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_973_tdr.pdf,descargado,ok,
50.0,TdR Convocatoria 50 del SGR - INVESTIGACIÓN BÁSICA,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_convocatoria_50_investigacion_basica_final.pdf,pdf,tdr_convocatoria_50_investigacion_basica_final.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_50_tdr.pdf,descargado,ok,
46.0,TdR Convocatoria 46 del SGR - COLOMBIA INTELIGENTE,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/02-10-2025_tdr_conv_ia_rev_1.pdf,pdf,02-10-2025_tdr_conv_ia_rev_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_46_tdr.pdf,descargado,ok,
,TDR Concurso Movilidad Academica Continente Africano,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/tdr_concurso_movilidad_academica_continente_africano.pdf,pdf,tdr_concurso_movilidad_academica_continente_africano.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\tdr\convocatoria_sin_numero_tdr.pdf,descargado,ok,
