apellido,nombre,nombre_completo,enlace_perfil,facultad,cargo,imagen_url,id,json_file
Abello Galvis,Ricardo,"Abello Galvis, Ricardo",https://research-hub.urosario.edu.co/display/ricardo-abello-galvis,Facultad de Jurisprudencia,Profesor principal de carrera,https://research-hub.urosario.edu.co/file/n8667/thumbnail_Abello.jpg,ricardo-abello-galvis,json_profesores/ricardo-abello-galvis.json
Acosta Ampudia,Yeny Yasbleidy,"Acosta Ampudia, Yeny Yasbleidy",https://research-hub.urosario.edu.co/display/yeny-yasbleidy-acosta-ampudia,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,https://research-hub.urosario.edu.co/file/n7801/thumbnail_Acosta.jpg,yeny-yasbleidy-acosta-ampudia,json_profesores/yeny-yasbleidy-acosta-ampudia.json
Acosta Arango,Paula María,"Acosta Arango, Paula María",https://research-hub.urosario.edu.co/display/paula-maria-acosta-arango,Facultad de Creación,Profesor de docencia y práctica,https://research-hub.urosario.edu.co/file/n12062/thumbnail_Paula+Acosta+Arango.jpg,paula-maria-acosta-arango,json_profesores/paula-maria-acosta-arango.json
Acosta Machado,Dennis Elena,"Acosta Machado, Dennis Elena",https://research-hub.urosario.edu.co/display/dennis-elena-acosta-machado,Escuela de Medicina y Ciencias de la Salud,Docente clínico y de prácticas,https://research-hub.urosario.edu.co/file/n23556/thumbnail_silueta+mujer+hub.jpg,dennis-elena-acosta-machado,json_profesores/dennis-elena-acosta-machado.json
Acosta Restrepo,Patricia,"Acosta Restrepo, Patricia",https://research-hub.urosario.edu.co/display/patricia-acosta-restrepo,"Escuela de Estudios Sociales, Políticos e Internacionales",Profesor principal de carrera,https://research-hub.urosario.edu.co/file/n18425/thumbnail_Acosta.jpg,patricia-acosta-restrepo,json_profesores/patricia-acosta-restrepo.json
Aguilar Cabeza,Susana Margarita,"Aguilar Cabeza, Susana Margarita",https://research-hub.urosario.edu.co/display/susana-margarita-aguilar-cabeza,Escuela de Medicina y Ciencias de la Salud,Docente clínico y de prácticas,https://research-hub.urosario.edu.co/file/n6613/thumbnail_silueta+mujer+hub.jpg,susana-margarita-aguilar-cabeza,json_profesores/susana-margarita-aguilar-cabeza.json
Aguilar Rubiano,Beira Andrea,"Aguilar Rubiano, Beira Andrea",https://research-hub.urosario.edu.co/display/beira-andrea-aguilar-rubiano,"Escuela de Estudios Sociales, Políticos e Internacionales",Profesor asistente de carrera,https://research-hub.urosario.edu.co/file/n14430/thumbnail_Beira.jpg,beira-andrea-aguilar-rubiano,json_profesores/beira-andrea-aguilar-rubiano.json
Aguilar Suárez,Angie Tatiana,"Aguilar Suárez, Angie Tatiana",https://research-hub.urosario.edu.co/display/angie-tatiana-aguilar-suarez,Escuela de Medicina y Ciencias de la Salud,Docente clínico y de prácticas,https://research-hub.urosario.edu.co/file/n3864/thumbnail_silueta+mujer+hub.jpg,angie-tatiana-aguilar-suarez,json_profesores/angie-tatiana-aguilar-suarez.json
Aguilera Leal,Nathalia,"Aguilera Leal, Nathalia",https://research-hub.urosario.edu.co/display/nathalia-aguilera-leal,Escuela de Medicina y Ciencias de la Salud,Docente clínico y de prácticas,https://research-hub.urosario.edu.co/file/n12290/thumbnail_natalia_leal.jpg,nathalia-aguilera-leal,json_profesores/nathalia-aguilera-leal.json
Aguilera Martínez,Sara Isabel,"Aguilera Martínez, Sara Isabel",https://research-hub.urosario.edu.co/display/sara-isabel-aguilera-martinez,Escuela de Medicina y Ciencias de la Salud,Docente clínico y de prácticas,https://research-hub.urosario.edu.co/file/n13694/thumbnail_sara-isabel-aguilera-martinez-1720121812.jpg,sara-isabel-aguilera-martinez,json_profesores/sara-isabel-aguilera-martinez.json
Aguilera Romero,Joan Norberto,"Aguilera Romero, Joan Norberto",https://research-hub.urosario.edu.co/display/joan-norberto-aguilera-romero,Escuela de Medicina y Ciencias de la Salud,Docente clínico y de prácticas,https://research-hub.urosario.edu.co/file/n26796/thumbnail_1722391612897.jpg,joan-norberto-aguilera-romero,json_profesores/joan-norberto-aguilera-romero.json
Aguía Rojas,Karen,"Aguía Rojas, Karen",https://research-hub.urosario.edu.co/display/karen-aguia-rojas,Escuela de Medicina y Ciencias de la Salud,Directora programa de Terapia Ocupacional,https://research-hub.urosario.edu.co/file/n4604/thumbnail_karen+aguia.jpg,karen-aguia-rojas,json_profesores/karen-aguia-rojas.json
Alcalá Lozano,Silvia Catalina,"Alcalá Lozano, Silvia Catalina",https://research-hub.urosario.edu.co/display/silvia-catalina-alcala-lozano,Escuela de Medicina y Ciencias de la Salud,Docente clínico y de prácticas,https://research-hub.urosario.edu.co/file/n17307/thumbnail_silueta+mujer+hub.jpg,silvia-catalina-alcala-lozano,json_profesores/silvia-catalina-alcala-lozano.json
Algecira Cano,Juan Carlos,"Algecira Cano, Juan Carlos",https://research-hub.urosario.edu.co/display/juan-carlos-algecira-cano,Escuela de Medicina y Ciencias de la Salud,Docente clínico y de prácticas,https://research-hub.urosario.edu.co/file/n14328/thumbnail_JUAN+ALGECIRA.jpg,juan-carlos-algecira-cano,json_profesores/juan-carlos-algecira-cano.json
